"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"49","NEE","新纪元能源","80.160","-0.160","-0.20%","9554345","762507103","157333639039.68","0.000","0.000","0","0","79.560","80.320","80.460","78.440","0.71","0.00%","2.51","44.287","0.49","-0.24","-0.17%","1.74%","6.85%","5.14%","-12.14%","-0.83%","8.27%","-13.66%","公用事业-受管制的电力"
"50","MCD","麦当劳","222.000","-0.470","-0.21%","5444938","1199091591","165888484794","0.000","0.000","0","0","220.200","222.470","222.050","217.675","1.06","0.00%","1.97","22.111","0.73","-0.09","0.11%","-6.19%","-8.89%","-14.09%","-15.15%","-7.43%","2.95%","-16.72%","饭馆"
"51","T","AT&T","23.190","-0.070","-0.30%","40500778","935794184","165599790000","0.000","0.000","0","0","23.220","23.260","23.220","22.940","0.96","0.00%","1.20","8.402","0.57","0.06","0.11%","-3.01%","-0.17%","-5.35%","5.44%","-12.38%","-16.53%","-3.82%","电信业务"
"52","EQNR","Equinor","33.120","-0.100","-0.30%","5010327","164955751","106874371848.96","0.000","0.000","0","0","32.880","33.220","33.265","32.540","0.89","0.00%","2.18","12.593","0.48","-0.14","-0.02%","1.88%","6.43%","12.60%","29.39%","44.27%","64.09%","26.54%","油气一体化"
"53","WFC","富国银行","49.010","-0.150","-0.31%","26178780","1276019925","190443131367.97","0.000","0.000","0","0","48.260","49.160","49.570","47.850","0.62","0.00%","3.50","9.901","0.67","-0.15","-0.04%","-4.35%","-7.02%","-17.02%","1.38%","6.35%","25.30%","2.61%","银行-综合性"
"54","DHR","丹纳赫","263.830","-0.990","-0.37%","1419938","374276866","188638450000","0.000","0.000","0","0","263.760","264.820","265.480","260.930","0.55","0.00%","1.72","30.642","0.22","-0.31","-0.26%","-4.61%","-2.85%","-9.65%","-17.11%","-18.59%","21.96%","-19.81%","诊断与研究"
"55","SBUX","星巴克","87.160","-0.440","-0.50%","9114348","790091683","100260148000","0.000","0.000","0","0","86.090","87.600","87.360","85.600","0.94","0.00%","2.01","24.621","0.79","-0.21","0.02%","-4.77%","-4.23%","-9.81%","-24.19%","-22.42%","-18.57%","-25.11%","饭馆"
"56","HON","霍尼韦尔","184.360","-1.040","-0.56%","2455436","452059095","126437548621.56","0.000","0.000","0","0","182.540","185.400","185.110","182.220","0.57","0.00%","1.56","23.307","0.38","-0.10","0.02%","-1.69%","1.11%","-5.72%","-11.40%","-14.77%","-13.15%","-11.09%","企业集团"
"57","NFLX","奈飞","356.770","-2.020","-0.56%","4807767","1725588207","158392717684.39","0.000","0.000","0","0","356.200","358.790","367.020","353.300","0.79","0.00%","3.82","31.741","1.10","-0.20","-0.21%","-3.07%","-8.53%","-13.59%","-40.99%","-39.46%","-31.42%","-40.78%","娱乐"
"58","NVO","诺和诺德","104.460","-0.600","-0.57%","2213024","229652971","237834494677.26","0.000","0.000","0","0","103.460","105.060","104.990","103.110","0.99","0.00%","1.79","32.942","0.20","-0.11","-0.03%","0.18%","5.57%","-1.38%","-9.71%","3.01%","47.77%","-6.73%","生物技术"
"59","TMO","赛默飞世尔","538.250","-3.450","-0.64%","1481200","796474930","210558970202.5","0.000","0.000","0","0","536.430","541.700","541.550","533.870","0.91","0.00%","1.42","27.659","0.38","-0.03","0.15%","-2.89%","-0.36%","-8.75%","-16.65%","-9.77%","19.04%","-19.33%","诊断与研究"
"60","NKE","耐克","126.030","-0.920","-0.72%","7167615","899742232","199290643256.19","0.000","0.000","0","0","124.020","126.950","126.600","124.000","0.87","0.00%","2.05","35.401","0.57","-0.24","-0.29%","-5.71%","-7.91%","-13.63%","-24.29%","-19.10%","-12.37%","-24.21%","鞋类及配件"
"61","GOOGL","谷歌-A","2648.590","-19.810","-0.74%","1355070","3577571716","1753687059390","0.000","0.000","0","0","2625.320","2668.400","2665.435","2618.250","0.75","0.00%","1.77","23.605","0.23","-0.24","-0.21%","-1.10%","-0.20%","-6.47%","-9.19%","-5.94%","28.92%","-8.58%","互联网内容与信息"
"62","LOW","劳氏","224.170","-1.710","-0.76%","3318890","737690713","150193900000","0.000","0.000","0","0","223.000","225.880","224.390","219.090","0.94","0.00%","2.35","18.618","0.50","-0.06","0.01%","-0.93%","5.04%","-4.06%","-12.57%","7.99%","30.50%","-12.99%","家居装修零售"
"63","GOOG","谷歌-C","2653.640","-23.680","-0.88%","1213260","3214032976","1757030770440","0.000","0.000","0","0","2629.250","2677.320","2670.770","2628.020","0.78","0.00%","1.60","23.650","0.21","-0.22","-0.29%","-1.21%","0.01%","-6.20%","-9.56%","-6.21%","28.41%","-8.29%","互联网内容与信息"
"64","V","Visa","197.970","-1.790","-0.90%","7061604","1398960090","415106827439.16","0.000","0.000","0","0","196.900","199.760","199.940","196.300","0.67","0.00%","1.82","35.163","0.42","-0.20","-0.21%","-4.47%","-8.90%","-14.11%","-6.03%","-10.42%","-10.78%","-8.50%","信贷服务"
"65","BAC","美国银行","40.670","-0.370","-0.90%","48804380","1983735991","328525405600.21","0.000","0.000","0","0","40.290","41.040","41.475","40.110","0.62","0.00%","3.33","11.392","0.61","-0.07","-0.01%","-4.28%","-6.26%","-17.07%","-6.22%","1.40%","9.80%","-8.14%","银行-综合性"
"66","TSM","台积电","103.960","-0.990","-0.94%","11811010","1226292497","539144470420.36","0.000","0.000","0","0","104.190","104.950","105.530","102.520","0.57","0.00%","2.87","25.233","0.24","-0.02","-0.13%","-4.44%","-7.08%","-17.18%","-10.33%","-11.35%","-11.30%","-13.59%","半导体"
"67","LMT","洛克希德马丁","444.360","-4.360","-0.97%","3049605","1367523660","121011192393","0.000","0.000","0","0","450.630","448.720","456.960","442.240","0.73","0.00%","3.28","19.523","1.31","0.07","-0.01%","-0.77%","13.07%","13.40%","29.48%","32.30%","32.06%","25.89%","航天军工"
