"序号","代码","名称","最新价","涨跌幅","成交额","今开","市盈率(静)","总市值","流通市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"106","SVA","科兴生物","6.470","0.00%","0","6.470","6.670","642436987.21","293432842.45","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","生物技术"
"107","YUII","山东昱合","0.000","0.00%","0","0.000","-","20.25","20.25","0.00%","0.00%","0.00%","-99.50%","-90.00%","-99.97%","-99.50%","-"
"108","CHOPF","河南鸽瑞","0.000","0.00%","0","0.000","-","0","0","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"109","LASLY","联拓集团","0.000","0.00%","0","0.000","-","3256.895","3256.895","0.00%","0.00%","0.00%","0.00%","-80.00%","-99.13%","-99.00%","-"
"110","RYB","红黄蓝教育","0.972","0.00%","2253","0.920","亏损","26813928.312","7514979.12","0.23%","-1.22%","10.45%","-53.49%","-66.83%","-65.53%","-50.91%","教育及培训服务"
"111","QTT","趣头条","1.580","0.00%","39481","1.550","亏损","47873644.5","22494461.58","4.29%","-8.14%","41.07%","-48.37%","-84.81%","-93.25%","-43.17%","互联网内容与信息"
"112","LAIX","流利说","3.100","0.00%","0","0.000","亏损","11048815.4","2803847.7","-21.32%","-22.69%","-13.41%","-61.84%","-75.37%","-89.56%","-60.56%","软件 - 应用"
"113","BIMI","必迈医药","1.240","0.00%","59269","1.240","亏损","13217001.28","12373947.6","-18.95%","-1.59%","15.89%","-46.95%","-57.02%","-83.90%","-51.37%","医药零售商"
"114","YJ","云集","1.040","0.00%","253378","1.030","10.400","223239680.56","43952477.92","-0.95%","-7.14%","2.97%","62.60%","28.87%","-49.27%","66.37%","互联网零售"
"115","DOYU","斗鱼","2.070","0.00%","3116845","2.090","亏损","671528265.3","300945294","-2.36%","-3.72%","41.78%","-21.89%","-41.19%","-79.30%","-21.59%","互联网内容与信息"
"116","DNK","蛋壳公寓","2.367","0.00%","0","0.000","亏损","432876960","78111310.077","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","房地产服务"
"117","BSPM","Biostar Pharmaceuticals","0.000","0.00%","0","0.000","-","2.637","2.21","-99.00%","-99.00%","-99.00%","0.00%","-100.00%","-100.00%","0.00%","-"
"118","CNTFY","China TechFaith","0.001","0.00%","0","0.001","亏损","10586.709","10586.709","0.00%","0.00%","-87.50%","-87.50%","-91.67%","-99.22%","-80.00%","-"
"119","HKIT","海天网络","5.000","0.00%","0","5.000","33.333","54938395","20000000","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","软件 - 应用"
"120","QH","趣活","0.608","0.00%","24116","0.609","50.641","26912954.058","2644625.322","-6.54%","-13.19%","18.07%","-35.71%","-74.36%","-89.15%","-45.25%","软件 - 应用"
"121","LXEH","丽翔教育","4.742","0.00%","5","4.742","12.283","63220316.1","15805316.1","6.51%","3.98%","15.65%","-46.72%","-44.35%","-43.89%","-52.30%","教育及培训服务"
"122","FHS","第一高中教育","1.440","0.00%","42414","1.531","3.348","41682575.52","16253555.04","-5.26%","-19.10%","16.13%","-27.64%","-52.00%","-80.17%","-8.28%","教育及培训服务"
"123","CHT","中华电信","44.290","-0.05%","3539465","44.370","28.611","34357730725.66","19887549462.47","-0.92%","-0.49%","1.89%","4.51%","11.84%","15.78%","4.93%","电信业务"
"124","HUDI","华迪国际","24.810","-0.08%","478969","24.980","118.142","328464105.42","77531250","8.39%","10.46%","22.82%","19.28%","192.23%","379.88%","-22.49%","钢铁"
"125","TC","团车网","2.178","-0.09%","5558","2.160","亏损","44031432.456","8837326.476","6.24%","-9.68%","-12.18%","-24.11%","-1.89%","-45.14%","-23.04%","互联网内容与信息"
"126","ATHM","汽车之家","30.480","-0.10%","14061798","30.580","11.330","3881533512","2168553610.56","-9.93%","2.38%","39.28%","-16.06%","-37.82%","-66.99%","5.35%","互联网内容与信息"
"127","YUMC","百胜中国","41.720","-0.12%","60837916","41.530","18.298","17755606414.28","17689280000","-5.38%","1.11%","11.31%","-13.74%","-31.16%","-29.72%","-16.09%","饭馆"
"128","GURE","海湾资源","4.280","-0.23%","4071","4.280","亏损","44809361.56","27455801.96","-0.47%","0.98%","-2.73%","1.42%","-28.07%","-17.21%","-1.15%","特种化学品"
"129","REDU","瑞思教育","0.800","-0.25%","58166","0.800","亏损","47399932","12930162.4","-6.47%","-4.37%","1.73%","67.01%","13.07%","-76.40%","61.68%","教育及培训服务"
"130","SECO","寺库集团","0.360","-0.28%","14704","0.369","亏损","25434922.32","6107761.44","3.06%","-10.76%","-1.37%","-8.88%","-68.42%","-85.19%","-25.00%","互联网零售"
"131","MOGU","蘑菇街","3.290","-0.30%","25082","3.300","亏损","29738178.4","11935267.89","-6.27%","-26.30%","1.54%","-31.46%","-71.15%","-85.26%","-27.85%","互联网零售"
"132","LKCO","箩筐技术","0.538","-0.31%","221292","0.570","亏损","205732396.512","176458728.138","0.07%","-7.24%","12.08%","-12.36%","-49.25%","-47.77%","-11.10%","互联网内容与信息"
"133","FFHL","富维薄膜","6.490","-0.35%","17037","6.300","7.054","21195282.13","8209389.21","-5.53%","-4.28%","-5.26%","-18.77%","-35.10%","-36.43%","-18.16%","包装和容器"
"134","LX","乐信","2.450","-0.41%","3652469","2.460","1.223","448161448","205007689.6","-9.59%","-13.12%","11.87%","-34.67%","-56.01%","-73.37%","-36.53%","信贷服务"
"135","JFIN","嘉银金科","2.410","-0.41%","52256","2.360","1.772","130200250","50184338.57","-12.36%","-15.14%","14.22%","3.43%","-36.24%","-63.21%","9.55%","互联网内容与信息"
"136","CMCM","猎豹移动","0.986","-0.46%","48409","0.977","2.250","138765312.297","37512914.602","-1.45%","-1.45%","11.98%","-33.86%","-36.83%","-54.59%","-28.07%","互联网内容与信息"
"137","SY","新氧","1.870","-0.53%","482351","1.880","亏损","197135543.99","50581981.56","-10.95%","-11.37%","20.65%","-42.81%","-56.00%","-79.54%","-41.38%","卫生信息服务"
"138","HYW","海银控股","7.470","-0.53%","247579","7.430","6.669","209160000","209160000","-4.60%","0.95%","20.29%","35.57%","19.52%","6.26%","33.16%","资产管理"
"139","GOTU","高途","1.730","-0.57%","3254112","1.720","亏损","444620885.16","227407264.78","-1.14%","-14.36%","12.34%","-5.46%","-46.60%","-93.11%","-10.82%","教育及培训服务"
"140","BZ","BOSS直聘","24.110","-0.58%","26725017","24.290","亏损","9860479398.42","4023365773.45","-6.73%","-7.98%","35.37%","-21.36%","-29.21%","26.89%","-30.88%","人员配置和就业服务"
"141","VIOT","云米科技","1.680","-0.59%","90939","1.690","8.842","116889541.44","38170194.72","-1.18%","-6.67%","26.32%","-25.00%","-67.19%","-81.00%","-30.58%","-"
"142","YMM","满帮","6.520","-0.61%","23115725","6.620","亏损","7079713977.04","3812933392.2","-9.07%","-11.89%","25.87%","-31.73%","-54.66%","-65.68%","-22.10%","软件 - 应用"
"143","AMBO","安博教育","0.740","-0.62%","128563","0.730","亏损","17262975.3","7913215.9","2.72%","-3.90%","13.34%","-17.32%","-48.25%","-60.64%","-19.83%","教育及培训服务"
"144","CNET","中网载线","0.623","-0.64%","36022","0.637","亏损","22005191.235","18327537.928","-11.16%","-12.29%","-3.45%","-30.74%","-52.09%","-71.69%","-37.72%","广告公司"
"145","IFBD","讯鸟软件","0.676","-0.66%","49597","0.688","4.276","17061425","9865437.575","-3.47%","-21.88%","-4.83%","-34.98%","-68.13%","-83.11%","-37.44%","软件 - 应用"
"146","CREG","中国循环能源","5.960","-0.67%","54231","6.060","3.772","42656506.72","21377339.92","-1.00%","-7.31%","-6.73%","-18.58%","-0.17%","-21.99%","7.97%","公用事业-可再生"
"147","BIDU","百度","134.760","-0.70%","345256613","135.400","30.627","46566387131.88","36944995465.68","-4.41%","-8.04%","13.32%","-15.44%","-21.21%","-37.69%","-9.43%","互联网内容与信息"
"148","BABA","阿里巴巴","103.530","-0.71%","2179305167","104.480","12.404","278236875000","195503611073.19","-6.05%","-8.37%","19.40%","-24.66%","-37.94%","-56.72%","-12.85%","互联网零售"
"149","KNDI","康迪车业","2.770","-0.72%","1520157","2.790","9.233","211230075.65","170911393.28","-10.93%","-5.78%","-3.82%","-19.71%","-37.19%","-53.68%","-13.71%","汽车零件"
"150","SOL","瑞能新能源","5.540","-0.72%","5116891","5.540","56.530","386406174.78","234215095.22","-5.62%","-5.14%","-12.48%","-13.03%","-24.73%","-44.43%","-7.05%","太阳能"
"151","CPOP","普普文化","1.330","-0.75%","295498","1.460","7.514","31986500","14197868.37","-8.90%","-19.88%","3.10%","-35.12%","-53.15%","-77.83%","-63.36%","广告公司"
"152","BTOG","中国香态食品","1.120","-0.88%","343751","1.090","亏损","85810428.48","75174471.68","-4.27%","-0.83%","10.89%","-5.08%","6.67%","23.08%","-18.25%","包装食品"
"153","BZUN","宝尊电商","8.310","-0.95%","11021858","8.340","亏损","578360742.84","332323132.5","-7.77%","2.34%","28.04%","-41.60%","-56.01%","-76.55%","-40.22%","互联网零售"
"154","JD","京东","56.540","-0.98%","594217204","56.750","亏损","88169384484.72","65879478765.1","-4.32%","-5.64%","17.82%","-25.99%","-31.40%","-27.62%","-19.31%","互联网零售"
"155","NOAH","诺亚财富","21.600","-1.01%","5285945","21.980","7.081","1299638822.4","485130600","-10.71%","-14.99%","0.98%","-29.62%","-41.83%","-48.01%","-29.62%","资产管理"
"156","TUYA","涂鸦智能","2.940","-1.01%","5105376","2.950","亏损","1679464886.4","579843125.82","-6.67%","-9.26%","19.51%","-49.22%","-63.97%","-83.45%","-52.96%","软件-基础设施"
"157","GHG","格林酒店","4.850","-1.02%","19495","4.930","12.435","499791835.55","56730226.9","-5.46%","-7.97%","-4.90%","-42.12%","-39.97%","-60.57%","-38.76%","住宿"
